,track_id,track_name,artists,album,danceability,loudness,acousticness,liveness,valence,tempo,Playlist
0,37f4ITSlgPX81ad2EvmVQr,Fight Song,Rachel Platten,Wildfire,0.564,-4.987,0.0549,0.155,0.33,175.924,Main Character Vibes
1,4esOae7i4rqTbAu9o5Pxco,Girl on Fire,Alicia Keys,Girl on Fire (Remixes) - EP,0.482,-5.762,0.135,0.105,0.144,92.513,Main Character Vibes
2,3DXXKDbbZKyAZfNb96ST3q,Confident,Demi Lovato,Confident,0.594,-6.251,0.00188,0.0869,0.344,130.064,Main Character Vibes
3,3lzYrD0WcgGFiAFKkB2shE,"Million To One - from the Amazon Original Movie ""Cinderella""",Camila Cabello,"Million To One (from the Amazon Original Movie ""Cinderella"")",0.511,-5.927,0.583,0.117,0.278,150.022,Main Character Vibes
4,71OvX5NNLrmz7rpq1ANTQn,Daddy Lessons,Beyoncé,Lemonade,0.643,-8.37,0.273,0.349,0.598,90.886,Main Character Vibes
5,1nInOsHbtotAmEOQhtvnzP,Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (Deluxe Version),0.562,-4.282,0.046,0.112,0.684,116.044,Main Character Vibes
6,70RnJj7bJB7WrnPg1IiMqU,Like You,Tatiana Manaois,Like You,0.502,-9.741,0.762,0.106,0.281,170.667,Main Character Vibes
7,0WmH9fXWCQ51RQi1kWPJrI,100 Bad Days,AJR,Neotheater,0.626,-5.62,0.0465,0.246,0.638,144.009,Main Character Vibes
8,5vTPxzm4h2bY9rYyVrGEU5,Really Don't Care,"Demi Lovato, Cher Lloyd",Demi,0.706,-3.602,0.123,0.185,0.851,121.017,Main Character Vibes
9,0ErK6K0kYr0Ow2RkPMhmMs,Shout Out to My Ex,Little Mix,Glory Days (Expanded Edition),0.773,-4.061,0.0242,0.109,0.801,126.014,Main Character Vibes
10,5p7ujcrUXASCNwRaWNHR1C,Without Me,Halsey,Without Me,0.752,-7.05,0.297,0.0936,0.533,136.041,Main Character Vibes
11,3XF5xLJHOQQRbWya6hBp7d,you should see me in a crown,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0.678,-10.485,0.462,0.139,0.323,150.455,Main Character Vibes
12,0vLxMyI85TR1aPDyz647rF,Bitch Better Have My Money,Rihanna,Bitch Better Have My Money,0.782,-4.964,0.0447,0.257,0.366,102.986,Main Character Vibes
13,2J2Z1SkXYghSajLibnQHOa,Unstoppable,Sia,This Is Acting,0.468,-4.839,0.112,0.101,0.26,173.799,Main Character Vibes
14,6nCDnzErqalOaIY3EJM8NK,Telephone,"Lady Gaga, Beyoncé",The Fame Monster (UK Deluxe),0.825,-5.853,0.00587,0.114,0.713,122.021,Main Character Vibes
15,6Uj1ctrBOjOas8xZXGqKk4,Woman,Doja Cat,Planet Her,0.824,-4.175,0.0888,0.117,0.881,107.998,Main Character Vibes
16,1pwo8l3Ko7idwaz4LVUEC4,Shout Out to My Ex,Little Mix,Glory Days: The Platinum Edition,0.773,-4.061,0.0239,0.11,0.8,126.014,Main Character Vibes
17,6W5RmgWh46p9RQ4LDezHKE,"Flashlight (Sweet Life Mix) - From ""Pitch Perfect 2"" Soundtrack",Hailee Steinfeld,Pitch Perfect 2 - Special Edition (Original Motion Picture Soundtrack),0.52,-6.35,0.327,0.127,0.278,148.228,Main Character Vibes
18,2yLa0QULdQr0qAIvVwN6B5,...Ready For It?,Taylor Swift,reputation,0.613,-6.509,0.0527,0.197,0.417,160.015,Main Character Vibes
19,2s5HFb7W5zXq6i7HXHxvcB,Grind Me Down,Lilianna Wilde,Bad for You,0.607,-8.954,0.706,0.157,0.421,166.009,Main Character Vibes
20,6xsEAm6w9oMQYYg3jkEkMT,Bad Blood,"Taylor Swift, Kendrick Lamar",Bad Blood,0.654,-7.388,0.0294,0.139,0.221,170.16,Main Character Vibes
21,3TcL0dyCMyr0kyTTc4NLgI,Who Says,Selena Gomez & The Scene,When The Sun Goes Down,0.682,-2.915,0.0843,0.149,0.744,101.019,Main Character Vibes
22,3uHRN9pGmNPI1ftbmk35Qu,Colder,Nina Nesbitt,"The Sun Will Come up, The Seasons Will Change",0.719,-7.718,0.182,0.0666,0.734,97.488,Main Character Vibes
23,10GJQkjRJcZhGTLagFOC62,Most Girls,Hailee Steinfeld,Most Girls,0.756,-7.019,0.0478,0.0853,0.417,102.986,Main Character Vibes
24,222B3aljXx6fFwKmFjuBED,Woman Like Me (feat. Nicki Minaj),"Little Mix, Nicki Minaj",LM5 (Deluxe),0.754,-3.449,0.177,0.0808,0.8,75.002,Main Character Vibes
25,4EfN6bixdOOgoLYR5C4cWo,Birthday Cake,Rihanna,Talk That Talk,0.702,-6.498,0.32,0.355,0.329,80.014,Main Character Vibes
26,5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),0.591,-5.484,0.0383,0.103,0.478,169.928,Main Character Vibes
27,2ACOWPLUe4A4KuQ5ioD2od,That's My Girl,Fifth Harmony,7/27 (Deluxe),0.596,-4.245,0.0358,0.365,0.612,202.049,Main Character Vibes
28,6FB3v4YcR57y4tXFcdxI1E,I Knew You Were Trouble.,Taylor Swift,Red (Big Machine Radio Release Special),0.622,-6.798,0.00454,0.0335,0.679,77.019,Main Character Vibes
29,58q2HKrzhC3ozto2nDdN4z,I Like It,"Cardi B, Bad Bunny, J Balvin",Invasion of Privacy,0.816,-3.998,0.099,0.372,0.65,136.048,Main Character Vibes
30,3Vo4wInECJQuz9BIBMOu8i,Finesse - Remix; feat. Cardi B,"Bruno Mars, Cardi B",Finesse (Remix) [feat. Cardi B],0.704,-4.877,0.0185,0.0215,0.926,105.115,Main Character Vibes
31,0PG9fbaaHFHfre2gUVo7AN,Please Me,"Cardi B, Bruno Mars",Please Me,0.747,-6.711,0.0642,0.0832,0.65,133.992,Main Character Vibes
32,4kV4N9D1iKVxx1KLvtTpjS,"break up with your girlfriend, i'm bored",Ariana Grande,"thank u, next",0.726,-5.29,0.0421,0.106,0.335,169.999,Main Character Vibes
33,5rDy6EbU40Wt0zSANOD6kT,This Girl,Laza Morgan,Step Up 3D (Original Motion Picture Soundtrack),0.657,-6.077,0.0577,0.0678,0.535,117.957,Main Character Vibes
34,7wMq5n8mYSKlQIGECKUgTX,Hall of Fame (feat. will.i.am),"The Script, will.i.am",#3 Deluxe Version,0.421,-4.343,0.0654,0.123,0.629,84.786,Main Character Vibes
35,6jRq8gaZhMUyy5RclRPcAf,hot girl bummer,blackbear,everything means nothing,0.782,-7.106,0.125,0.385,0.685,129.992,Main Character Vibes
36,2b2LUjMx9LKwIARJf93Rbd,not ur friend,Jeremy Zucker,love is not dying,0.778,-9.288,0.301,0.667,0.707,68.936,Main Character Vibes
37,7L5f7f89fGs2LaFHGwFoCj,Aal Izz Well,"Sonu Nigam, Swanand Kirkire, Shaan",3 Idiots,0.799,-6.615,0.401,0.136,0.624,120.011,Main Character Vibes
38,674C3yLojdNtQcSH3nt4rY,Pinjra Tod Ke,Sunidhi Chauhan,Simran,0.453,-6.158,0.74,0.129,0.249,77.99,Main Character Vibes
39,1NtIMM4N0cFa1dNzN15chl,Believer,Imagine Dragons,Evolve,0.772,-4.288,0.0512,0.119,0.719,124.988,Main Character Vibes
40,7o1yzUVkQt2Gto5yYvzo2T,Lakshya,"Shankar-Ehsaan-Loy, Shankar Mahadevan",Lakshya (Original Motion Picture Soundtrack),0.64,-6.612,0.0616,0.25,0.727,94.972,Main Character Vibes
41,3HWzoMvoF3TQfYg4UPszDq,Truth Hurts,Lizzo,Cuz I Love You (Super Deluxe),0.715,-3.046,0.11,0.123,0.412,158.087,Main Character Vibes
42,4v1TTTCadimzZkTuDTnYBc,HANDSOMER,Russ,HANDSOMER,0.886,-6.413,0.188,0.11,0.476,81.985,Main Character Vibes
43,3ean5e6RAA0iwKepBW3UqE,My Fit,"Mad Circuit, TeaMarrr",Airhead,0.68,-7.898,0.00115,0.0696,0.449,99.146,Main Character Vibes
44,2DnJjbjNTV9Nd5NOa1KGba,You're So Vain,Carly Simon,No Secrets,0.659,-8.18,0.157,0.0784,0.647,106.186,Main Character Vibes
45,5MWXOo8DJwgODtPGaietNz,cinderella's dead,EMELINE,cinderella's dead,0.596,-6.179,0.33,0.103,0.531,119.882,Main Character Vibes
46,31ABtQJdfloNaGz7ZhXaN5,King,Florence + The Machine,Dance Fever,0.731,-8.086,0.136,0.107,0.0856,105.989,Main Character Vibes
47,238Sekyg7DyN2XDm0z4oWY,Fancy,"Drake, T.I., Swizz Beatz",Thank Me Later (Int'l Version),0.523,-5.581,0.331,0.356,0.283,87.275,Main Character Vibes
48,4fINc8dnfcz7AdhFYVA4i7,It Girl,Jason Derulo,Future History (Deluxe Edition),0.668,-4.736,0.0165,0.104,0.345,91.993,Main Character Vibes
49,1PckUlxKqWQs3RlWXVBLw3,About Damn Time,Lizzo,About Damn Time,0.836,-6.305,0.0995,0.335,0.722,108.966,Main Character Vibes
50,5yeuXkukVGuix3vmLu2BPJ,Vigilante Shit,Taylor Swift,Midnights (3am Edition),0.87,-11.134,0.16,0.121,0.16,79.996,Main Character Vibes
51,55CrqwOpgvzYCos5XZ7aj2,Hot,Liili,Hot,0.981,-9.38,0.491,0.123,0.747,120.012,Main Character Vibes
52,5aUSEPNd3m5xliFK4pn5mU,Good Thing (with Kehlani),"Zedd, Kehlani",Good Thing (with Kehlani),0.693,-3.857,0.399,0.0409,0.574,185.913,Main Character Vibes
53,4bqkbekuSZFQmKcWpnGn5n,I Think I'm Growing?,FLETCHER,Girl Of My Dreams,0.57,-8.915,0.783,0.0972,0.395,89.011,Main Character Vibes
54,1V6gIisPpYqgFeWbMLI0bA,Heart Attack,Demi Lovato,Demi,0.504,-4.802,0.0738,0.239,0.502,173.968,Main Character Vibes
55,2FY7b99s15jUprqC0M5NCT,Natural,Imagine Dragons,Origins (Deluxe),0.704,-6.112,0.217,0.0812,0.22,100.0,Main Character Vibes
56,0lczHKLHGd8LuzgrzIJ0nO,Quiet,MILCK,This Is Not The End,0.47,-7.564,0.554,0.113,0.122,139.581,Main Character Vibes
57,2bcznSEhUXz4xbbILPBlLC,dating myself,sad alex,dating myself,0.85,-3.961,0.608,0.156,0.725,77.512,Main Character Vibes
